Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Michael Carter-Williams,27.1,ORL,Combo,222,47,19.1%,7,88.7,80,27.3%,98,1.43,83,9.8%
Alex Caruso,24.7,LAL,Combo,502,59,20.7%,81,114.7,61,21.3%,53,1.03,10,15.6%
Omri Casspi,30.4,MEM,Forward,492,49,15.7%,85,120.5,44,7.2%,35,0.46,34,12.4%
Willie Cauley-Stein,25.2,SAC,Big,2222,47,16.3%,44,113.4,76,12.1%,80,0.74,86,9.7%
Tyson Chandler,36.1,LAL,Big,785,0,8.1%,73,122.5,9,5.2%,66,0.64,1,22.9%
Wilson Chandler,31.5,LAC,Forward,210,27,13.5%,10,93.9,10,4.6%,13,0.34,79,8.8%
Wilson Chandler,31.5,PHI,Big,951,5,11.3%,37,112.1,54,9.5%,87,0.84,20,15.5%
Marquese Chriss,21.3,CLE,Big,394,72,19.6%,2,93.3,18,6.3%,8,0.32,45,13.6%
Gary Clark,24.0,HOU,Forward,522,1,9.2%,68,112.9,4,3.3%,17,0.36,99,5.5%
Ian Clark,27.7,NOP,Combo,944,37,18.6%,29,100.8,14,13.2%,14,0.71,34,13.3%
Jordan Clarkson,26.4,CLE,Combo,2179,83,27.1%,63,109.5,22,15.3%,5,0.56,81,9.9%
John Collins,21.1,ATL,Big,1819,80,20.8%,84,126.8,61,10.2%,36,0.49,54,12.5%
Zach Collins,21.0,POR,Big,1274,43,16.0%,31,110.5,33,7.5%,32,0.47,18,15.9%
Darren Collison,31.2,IND,Point,2143,41,21.1%,85,115.8,76,30.2%,87,1.43,63,12.1%
Mike Conley,31.1,MEM,Point,2341,85,29.4%,81,115.6,83,32.8%,48,1.12,91,8.5%
Pat Connaughton,25.8,MIL,Wing,1153,18,12.5%,67,112.5,67,12.4%,94,0.99,92,7.3%
Quinn Cook,25.6,GSW,Point,865,17,18.2%,91,117.5,0,14.8%,11,0.81,87,9.0%
DeMarcus Cousins,28.2,GSW,Big,753,98,28.4%,33,111.6,96,20.4%,77,0.72,39,14.1%
Robert Covington,27.9,MIN,Wing,748,43,15.1%,85,117.0,11,5.8%,9,0.39,77,9.1%
Robert Covington,27.9,PHI,Forward,439,15,12.2%,77,117.6,8,4.5%,18,0.37,3,16.9%
Allen Crabbe,26.6,BKN,Wing,1117,37,14.7%,42,106.5,13,6.0%,12,0.41,38,11.6%
Torrey Craig,27.9,DEN,Wing,1438,9,11.6%,50,108.4,14,6.1%,35,0.52,45,11.1%
Jamal Crawford,38.6,PHX,Point,1208,54,23.7%,46,106.1,69,28.4%,56,1.20,28,14.7%
Jae Crowder,28.3,UTA,Big,2158,57,17.4%,25,108.6,50,9.1%,42,0.52,88,9.4%
Dante Cunningham,31.5,SAS,Forward,834,0,8.4%,56,111.4,42,7.1%,93,0.85,52,10.8%
Seth Curry,28.2,POR,Wing,1362,45,15.5%,91,119.2,21,6.9%,16,0.44,37,11.6%
Stephen Curry,30.6,GSW,Point,2326,87,29.4%,100,130.5,26,22.5%,6,0.76,67,11.8%
Troy Daniels,27.3,PHX,Wing,706,41,14.9%,67,112.6,6,4.7%,4,0.31,70,9.5%
Anthony Davis,25.6,NOP,Big,1849,97,28.0%,67,120.0,93,18.6%,69,0.67,90,9.0%
