player_name,game_id,game_date,y,y_pred
Khris Middleton,21600978,2017-03-11,4,3.6852622
Karl-Anthony Towns,21600968,2017-03-10,2,2.1407244
DeMarre Carroll,21600969,2017-03-10,1,0.48611617
Terry Rozier,21600970,2017-03-10,1,1.0404605
Spencer Hawes,21600978,2017-03-11,0,0.0682255
James Harden,21600966,2017-03-10,13,12.720259
Kemba Walker,21600965,2017-03-10,1,1.9534329
Trevor Ariza,21600966,2017-03-10,1,1.137939
Giannis Antetokounmpo,21600967,2017-03-10,5,4.2822886
Langston Galloway,21600984,2017-03-11,0,0.06851907
Tim Hardaway Jr.,21600969,2017-03-10,6,6.683324
Bradley Beal,21600972,2017-03-10,3,2.3837118
Jimmy Butler,21600966,2017-03-10,4,3.9975357
Klay Thompson,21600968,2017-03-10,2,1.6483742
Buddy Hield,21600972,2017-03-10,1,1.047479
Dwyane Wade,21600966,2017-03-10,2,2.1428201
Stephen Curry,21600968,2017-03-10,7,6.5941525
Michael Kidd-Gilchrist,21600965,2017-03-10,1,1.094789
Mario Hezonja,21600965,2017-03-10,0,0.0682255
Gary Harris,21600970,2017-03-10,1,0.61036074
Wesley Matthews,21600971,2017-03-10,3,3.0716972
Cory Joseph,21600969,2017-03-10,8,7.9065866
Sam Dekker,21600966,2017-03-10,2,1.9016591
Yogi Ferrell,21600971,2017-03-10,2,2.3097675
Jeff Teague,21600967,2017-03-10,4,3.688799
Rajon Rondo,21600966,2017-03-10,2,1.8301834
Harrison Barnes,21600971,2017-03-10,0,0.029674154
Patrick McCaw,21600968,2017-03-10,1,0.9973614
Delon Wright,21600969,2017-03-10,1,0.82171667
Kyle Wiltjer,21600966,2017-03-10,0,0.0682255
Paul George,21600967,2017-03-10,6,5.395926
KJ McDaniels,21600971,2017-03-10,0,0.0682255
Jarrod Uthoff,21600971,2017-03-10,0,0.42512625
Joel Bolomboy,21600973,2017-03-11,1,1.0133483
Ryan Anderson,21600966,2017-03-10,0,0.08664572
Ian Clark,21600968,2017-03-10,2,1.9967903
Marcus Smart,21600970,2017-03-10,2,1.7488451
Dennis Schroder,21600969,2017-03-10,5,5.386325
Shabazz Muhammad,21600968,2017-03-10,0,0.06851907
Wilson Chandler,21600970,2017-03-10,1,1.223021
Eric Gordon,21600966,2017-03-10,2,2.0509784
Jordan Mickey,21600970,2017-03-10,0,0.08628197
J.J. Barea,21600971,2017-03-10,3,3.3967435
Tyus Jones,21600968,2017-03-10,1,1.0522325
Nemanja Bjelica,21600968,2017-03-10,2,1.7328782
Caris LeVert,21600971,2017-03-10,2,1.5934608
Randy Foye,21600971,2017-03-10,4,3.9706864
CJ Miles,21600967,2017-03-10,0,0.09501642
Jaylen Brown,21600970,2017-03-10,1,1.0061111
Rodney Stuckey,21600967,2017-03-10,0,0.33837938
Andrew Wiggins,21600968,2017-03-10,0,0.089109644
Ty Lawson,21600972,2017-03-10,6,4.460877
Dewayne Dedmon,21600980,2017-03-11,0,0.0682255
Taj Gibson,21600973,2017-03-11,0,0.08664572
Derrick Williams,21600977,2017-03-11,0,0.0682255
Kris Humphries,21600981,2017-03-11,0,0.0682255
JaVale McGee,21600980,2017-03-11,1,1.0133483
Kyle O'Quinn,21600975,2017-03-11,3,2.3080244
Tristan Thompson,21600977,2017-03-11,1,1.1776175
Aaron Gordon,21600977,2017-03-11,3,3.2480974
Salah Mejri,21600982,2017-03-11,0,0.0682255
DeAndre' Bembry,21600981,2017-03-11,0,0.0682255
John Henson,21600978,2017-03-11,0,0.08664572
Vince Carter,21600981,2017-03-11,2,1.9098499
Raymond Felton,21600974,2017-03-11,0,0.22890979
Georgios Papagiannis,21600984,2017-03-11,0,0.0682255
Patrick McCaw,21600980,2017-03-11,1,0.72970235
Deron Williams,21600977,2017-03-11,4,3.326127
Tim Hardaway Jr.,21600981,2017-03-11,1,0.94000185
Wesley Johnson,21600974,2017-03-11,0,0.0682255
Dwight Powell,21600982,2017-03-11,0,0.06851907
Tomas Satoransky,21600983,2017-03-11,0,0.060390685
David Lee,21600980,2017-03-11,2,2.021681
Dario Saric,21600974,2017-03-11,2,1.6701661
Nemanja Bjelica,21600978,2017-03-11,3,3.256712
Amir Johnson,21600970,2017-03-10,0,0.058967233
Dante Cunningham,21600976,2017-03-11,1,1.058893
Channing Frye,21600977,2017-03-11,1,1.0463938
Tyreke Evans,21600984,2017-03-11,2,2.1189828
Austin Rivers,21600974,2017-03-11,3,2.906576
Rashad Vaughn,21600978,2017-03-11,2,2.0416148
Toney Douglas,21600981,2017-03-11,0,0.3862187
Kevon Looney,21600980,2017-03-11,2,1.9910265
C.J. Watson,21600977,2017-03-11,0,0.42962015
Carmelo Anthony,21600975,2017-03-11,4,4.1786847
Andre Roberson,21600973,2017-03-11,0,0.09530999
Marquese Chriss,21600982,2017-03-11,1,1.042906
Anthony Tolliver,21600984,2017-03-11,1,1.4783734
Alex Abrines,21600973,2017-03-11,1,1.0965173
Patrick Patterson,21600979,2017-03-11,0,0.0682255
Tim Frazier,21600976,2017-03-11,1,1.1159652
Reggie Jackson,21600975,2017-03-11,8,8.125341
Ian Mahinmi,21600983,2017-03-11,0,0.060390685
Justin Holiday,21600975,2017-03-11,1,1.0207442
DeMarcus Cousins,21600976,2017-03-11,4,4.279145
