player_name,game_id,game_date,y,y_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Luc Mbah a Moute,21601031,2017-03-18,1,0.99791926,3000.0,3000.0,10.0,SF/PF,SF/PF,SF
Lou Williams,21601034,2017-03-18,2,2.0551264,5800.0,5800.0,21.0,PG/SG,PG/SG,PG
Richard Jefferson,21601031,2017-03-18,0,0.041076355,3300.0,3300.0,10.0,SF/PF,SF/PF,PF
Mike Muscala,21601029,2017-03-18,0,0.046569865,3000.0,3000.0,10.0,PF,PF,PF
James Jones,21601031,2017-03-18,0,0.041076355,3000.0,3000.0,10.0,SG,SG,SG
Tomas Satoransky,21601030,2017-03-18,0,0.04136732,3400.0,3400.0,10.0,PG,PG,PG
Al-Farouq Aminu,21601029,2017-03-18,3,2.4812522,4900.0,4900.0,16.0,PF,PF,PF
DeAndre Liggins,21601031,2017-03-18,4,3.9328806,3000.0,3000.0,10.0,SG,SG,SG
Nicolas Batum,21601030,2017-03-18,3,2.833265,7000.0,7000.0,31.0,SG/SF,SG/SF,SG
CJ McCollum,21601029,2017-03-18,0,0.059621073,7200.0,7200.0,33.0,PG/SG,PG/SG,SG
Jose Calderon,21601029,2017-03-18,0,0.04136732,3000.0,3000.0,10.0,PG,PG,PG
Brandan Wright,21601033,2017-03-18,0,0.04136732,3000.0,3000.0,10.0,PF/C,PF/C,C
Patrick McCaw,21601035,2017-03-18,0,0.041076355,3300.0,3300.0,10.0,SF,SF,SF
Tim Hardaway Jr.,21601029,2017-03-18,3,2.66603,5500.0,5500.0,20.0,SG,SG,SG
JaMychal Green,21601033,2017-03-18,0,0.0462789,4200.0,4200.0,10.0,PF,PF,PF
Briante Weber,21601030,2017-03-18,0,0.04136732,3000.0,3000.0,10.0,PG,PG,PG
JR Smith,21601031,2017-03-18,0,0.04136732,4200.0,4200.0,11.0,SG,SG,SG
Robin Lopez,21601032,2017-03-18,1,1.021898,3600.0,3600.0,11.0,C,C,C
Domantas Sabonis,21601028,2017-03-18,0,0.04136732,3000.0,3000.0,10.0,PF/C,PF/C,PF
Derrick Williams,21601031,2017-03-18,1,1.0634236,3000.0,3000.0,10.0,SF,SF,SF
Cristiano Felicio,21601032,2017-03-18,0,0.04136732,3000.0,3000.0,10.0,C,C,C
Taurean Prince,21601029,2017-03-18,1,1.1069849,3200.0,3200.0,10.0,SF,SF,SF
Jameer Nelson,21601034,2017-03-18,2,1.9152122,4300.0,4300.0,16.0,PG,PG,PG
Thon Maker,21601035,2017-03-18,0,0.04136732,3000.0,3000.0,10.0,C,C,C
Ryan Anderson,21601034,2017-03-18,1,0.99791926,4500.0,4500.0,19.0,PF,PF,PF
Steven Adams,21601028,2017-03-18,2,2.1348343,4500.0,4500.0,17.0,C,C,C
Kemba Walker,21601030,2017-03-18,2,1.8782159,8000.0,8000.0,45.0,PG,PG,PG
Brandon Bass,21601031,2017-03-18,1,0.99791926,3200.0,3200.0,10.0,PF,PF,PF
Wayne Selden,21601033,2017-03-18,0,0.18240158,0.0,0.0,0.0,Bench,Bench,Bench
Brandon Jennings,21601030,2017-03-18,1,0.9977265,4000.0,4000.0,10.0,PG,PG,PG
Bradley Beal,21601030,2017-03-18,1,1.0895168,8100.0,8100.0,36.0,SG,SG,SG
Matt Barnes,21601035,2017-03-18,0,0.03181932,4100.0,4100.0,12.0,SF/PF,SF/PF,SF
Kent Bazemore,21601029,2017-03-18,1,1.1206601,4100.0,4100.0,11.0,SG/SF,SG/SF,SG
Evan Turner,21601029,2017-03-18,1,1.0353149,4300.0,4300.0,15.0,SG/SF,SG/SF,SF
Shabazz Napier,21601029,2017-03-18,0,0.058807068,3000.0,3000.0,10.0,PG,PG,PG
Eric Gordon,21601034,2017-03-18,0,0.04136732,5000.0,5000.0,16.0,SG,SG,SG
Anthony Tolliver,21601042,2017-03-19,0,0.04136732,3200.0,3200.0,10.0,PF,PF,PF
Draymond Green,21601035,2017-03-18,4,3.980204,8000.0,8000.0,38.0,PF/C,PF/C,PF
Jimmy Butler,21601032,2017-03-18,2,1.6730579,8000.0,8000.0,48.0,SG/SF,SG/SF,SF
Doug McDermott,21601028,2017-03-18,0,0.04136732,3100.0,3100.0,10.0,SG/SF,SG/SF,SF
Andre Iguodala,21601035,2017-03-18,2,2.0519922,4400.0,4400.0,13.0,SG,SG,SG
Gary Harris,21601034,2017-03-18,1,1.0940679,5900.0,5900.0,21.0,SG,SG,SG
