player_name,game_id,game_date,y,y_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Malachi Richardson,21600847,2017-02-15,10,9.536247,3000.0,3000.0,10.0,SG,SG,SG
Al Horford,21600849,2017-02-16,7,8.274957,6800.0,6800.0,27.0,C,C,C
Amir Johnson,21600849,2017-02-16,10,9.576266,3300.0,3300.0,10.0,PF/C,PF/C,PF
Doug McDermott,21600849,2017-02-16,11,10.617566,4000.0,4000.0,10.0,SF,SF,SF
Monta Ellis,21600848,2017-02-16,9,8.127511,3700.0,3700.0,10.0,SG,SG,SG
Ian Mahinmi,21600848,2017-02-16,5,5.0330863,3000.0,3000.0,10.0,C,C,C
Terry Rozier,21600849,2017-02-16,11,11.405946,3000.0,3000.0,10.0,PG,PG,PG
James Young,21600849,2017-02-16,5,3.8626769,3000.0,3000.0,10.0,SG,SG,SG
Jason Smith,21600848,2017-02-16,3,3.2474148,3000.0,3000.0,10.0,PF/C,PF/C,PF
Jerian Grant,21600849,2017-02-16,10,7.9086795,3100.0,3100.0,10.0,PG,PG,PG
Trey Burke,21600848,2017-02-16,3,3.9803722,3000.0,3000.0,10.0,PG,PG,PG
Denzel Valentine,21600849,2017-02-16,0,1.1710298,3000.0,3000.0,10.0,SF,SF,SF
Rajon Rondo,21600849,2017-02-16,0,0.53097403,4200.0,4200.0,11.0,PG,PG,PG
Gerald Green,21600849,2017-02-16,6,5.971235,3000.0,3000.0,10.0,SF,SF,SF
Markieff Morris,21600848,2017-02-16,21,20.98414,6900.0,6900.0,27.0,SF/PF,SF/PF,PF
Robin Lopez,21600849,2017-02-16,15,12.608882,4400.0,4400.0,13.0,C,C,C
Tyler Zeller,21600849,2017-02-16,4,4.5381346,3000.0,3000.0,10.0,C,C,PF
Taj Gibson,21600849,2017-02-16,12,11.048835,4700.0,4700.0,16.0,PF/C,PF/C,PF
Bradley Beal,21600848,2017-02-16,19,21.333002,7100.0,7100.0,32.0,SG,SG,SG
Marcus Smart,21600849,2017-02-16,5,5.720916,5700.0,5700.0,16.0,PG/SG,PG/SG,PG
Kemba Walker,21600837,2017-02-15,24,22.614128,7600.0,7600.0,39.0,PG,PG,PG
Kevin Durant,21600847,2017-02-15,21,22.191536,9700.0,9700.0,52.0,SF,SF,SF
Goran Dragic,21600841,2017-02-15,21,20.953106,7200.0,7200.0,36.0,PG,PG,PG
Ish Smith,21600839,2017-02-15,10,6.69814,3900.0,3900.0,10.0,PG,PG,PG
Rondae Hollis-Jefferson,21600838,2017-02-15,3,4.13166,4000.0,4000.0,12.0,PF,PF,PF
Stanley Johnson,21600839,2017-02-15,0,1.4838691,3000.0,3000.0,10.0,SG/SF,SG/SF,SF
James Johnson,21600841,2017-02-15,6,7.1869407,6100.0,6100.0,26.0,PF,PF,PF
Reggie Jackson,21600839,2017-02-15,22,20.082438,5500.0,5500.0,20.0,PG,PG,PG
Devin Harris,21600839,2017-02-15,6,6.727866,3500.0,3500.0,10.0,SG,SG,SG
Joe Harris,21600838,2017-02-15,14,14.15913,3000.0,3000.0,10.0,SF,SF,SF
Malcolm Brogdon,21600838,2017-02-15,8,4.6785994,4900.0,4900.0,14.0,PG/SG,PG/SG,SG
Justin Hamilton,21600838,2017-02-15,3,2.9001167,3400.0,3400.0,10.0,PF/C,PF/C,C
Tim Quarterman,21600843,2017-02-15,3,3.5420775,3000.0,3000.0,10.0,PG,PG,PG
Patrick Beverley,21600841,2017-02-15,7,7.012173,5600.0,5600.0,19.0,PG/SG,PG/SG,SG
Marreese Speights,21600846,2017-02-15,8,7.6718254,3400.0,3400.0,10.0,PF/C,PF/C,C
Derrick Favors,21600843,2017-02-15,2,4.0664735,5100.0,5100.0,17.0,PF/C,PF/C,PF
Nik Stauskas,21600836,2017-02-15,11,10.214365,3900.0,3900.0,10.0,SG,SG,SG
Lance Thomas,21600845,2017-02-15,3,4.117577,3000.0,3000.0,10.0,PF,PF,PF
Brandon Knight,21600844,2017-02-15,11,8.367508,3900.0,3900.0,12.0,PG/SG,PG/SG,PG
Patrick McCaw,21600847,2017-02-15,4,4.650354,3300.0,3300.0,10.0,SG/SF,SG/SF,SG
Dante Exum,21600843,2017-02-15,12,11.697303,3000.0,3000.0,10.0,PG,PG,SG
Jeremy Lamb,21600837,2017-02-15,6,4.6041193,3300.0,3300.0,12.0,SG,SG,SG
Blake Griffin,21600846,2017-02-15,17,15.589203,9500.0,9500.0,45.0,PF,PF,PF
Jake Layman,21600843,2017-02-15,0,0.3526135,3000.0,3000.0,10.0,PF,PF,PF
Kent Bazemore,21600846,2017-02-15,2,2.0397398,5000.0,5000.0,13.0,SG/SF,SG/SF,SG
Luke Babbitt,21600841,2017-02-15,9,9.010354,3000.0,3000.0,10.0,PF,PF,PF
