player_name,game_date,reb,reb_pred
DeMarcus Cousins,2017-11-11,15.0,15.08618
DeMarcus Cousins,2017-11-13,16.0,15.046519
DeMarcus Cousins,2017-11-15,9.0,14.730902
DeMarcus Cousins,2017-11-17,6.0,15.330605
Dennis Schroder,2017-11-03,2.0,3.6566253
Dennis Schroder,2017-11-05,3.0,3.9982274
Dennis Schroder,2017-11-06,2.0,4.233671
Dennis Schroder,2017-11-10,4.0,4.5736523
Dennis Schroder,2017-11-11,7.0,4.470483
Devin Booker,2017-11-17,3.0,2.6992543
Draymond Green,2017-10-30,9.0,8.54479
Draymond Green,2017-11-02,5.0,8.770896
Draymond Green,2017-11-04,7.0,8.314961
Draymond Green,2017-11-06,9.0,7.4521933
Draymond Green,2017-11-08,6.0,7.030751
Draymond Green,2017-11-11,10.0,7.2798586
Draymond Green,2017-11-13,4.0,7.0828066
Draymond Green,2017-11-16,8.0,6.9132595
Dwight Howard,2017-11-05,9.0,13.354528
Dwight Howard,2017-11-10,11.0,13.257683
Dwight Howard,2017-11-15,5.0,13.300088
Giannis Antetokounmpo,2017-10-31,8.0,8.626063
Giannis Antetokounmpo,2017-11-01,12.999999,10.462758
Giannis Antetokounmpo,2017-11-03,4.0,10.489669
Giannis Antetokounmpo,2017-11-07,9.0,9.480025
Giannis Antetokounmpo,2017-11-10,12.0,11.02173
Giannis Antetokounmpo,2017-11-11,15.0,10.211537
Giannis Antetokounmpo,2017-11-13,9.0,9.024988
Giannis Antetokounmpo,2017-11-15,6.0,8.99331
Hassan Whiteside,2017-11-10,20.0,13.176324
Hassan Whiteside,2017-11-12,12.000001,11.781724
Hassan Whiteside,2017-11-15,21.000002,10.670761
Hassan Whiteside,2017-11-17,16.0,11.831869
James Harden,2017-10-30,4.0,4.914684
James Harden,2017-11-01,5.0,6.500042
James Harden,2017-11-03,3.0,5.380888
James Harden,2017-11-05,2.0,4.442573
James Harden,2017-11-09,11.0,6.1143975
James Harden,2017-11-11,4.0,5.6875205
James Harden,2017-11-12,5.0,4.892543
James Harden,2017-11-14,6.0,6.4517674
James Harden,2017-11-16,2.0,5.888507
Jimmy Butler,2017-11-04,5.0,4.8987355
Jimmy Butler,2017-11-05,6.0,4.622445
Jimmy Butler,2017-11-08,3.0,4.00912
Jimmy Butler,2017-11-15,5.0,4.638496
Jimmy Butler,2017-11-17,8.0,4.8830714
Joel Embiid,2017-11-01,12.0,10.317711
Joel Embiid,2017-11-03,9.0,9.538342
Joel Embiid,2017-11-09,15.0,11.287592
Joel Embiid,2017-11-11,7.0,9.858509
Joel Embiid,2017-11-13,16.0,10.611953
Joel Embiid,2017-11-15,15.0,10.870478
John Wall,2017-11-01,5.0,5.2056823
John Wall,2017-11-03,6.0,5.342878
John Wall,2017-11-07,3.0,5.5078225
John Wall,2017-11-09,8.0,5.754406
John Wall,2017-11-11,5.0,4.298108
John Wall,2017-11-13,2.0,4.0907116
John Wall,2017-11-15,4.0,3.917938
John Wall,2017-11-17,3.0,4.0061665
Jusuf Nurkic,2017-11-07,5.0,5.5993595
Jusuf Nurkic,2017-11-10,5.0,6.2152967
Jusuf Nurkic,2017-11-13,5.0,6.8385844
Jusuf Nurkic,2017-11-15,8.0,7.631538
Jusuf Nurkic,2017-11-17,7.0,6.825531
Karl-Anthony Towns,2017-10-30,12.0,11.667243
Karl-Anthony Towns,2017-11-01,5.0,12.837578
Karl-Anthony Towns,2017-11-04,12.0,11.576625
Karl-Anthony Towns,2017-11-05,9.0,10.637611
Karl-Anthony Towns,2017-11-08,12.0,12.835588
Karl-Anthony Towns,2017-11-11,12.0,11.222117
Karl-Anthony Towns,2017-11-13,13.0,12.157869
Karl-Anthony Towns,2017-11-15,15.999999,12.302635
Karl-Anthony Towns,2017-11-17,11.0,10.729946
Kemba Walker,2017-10-30,2.0,2.5708997
Kemba Walker,2017-11-01,2.0,2.0055985
Kemba Walker,2017-11-03,0.0,1.9788966
Kemba Walker,2017-11-05,2.0,2.2443514
Kemba Walker,2017-11-10,5.0,3.0130856
Kemba Walker,2017-11-15,5.0,2.0798872
Kemba Walker,2017-11-17,6.0,1.8033618
Kevin Durant,2017-10-30,7.0,8.183433
Kevin Durant,2017-11-02,8.0,7.860118
Kevin Durant,2017-11-04,7.0,8.2984915
Kevin Durant,2017-11-06,8.0,7.6336117
Kevin Durant,2017-11-11,5.0,6.455756
Kevin Durant,2017-11-13,7.0,8.096107
Kevin Durant,2017-11-16,3.0,6.108389
Kevin Love,2017-11-01,13.0,8.501925
Kevin Love,2017-11-03,8.0,8.817609
Kevin Love,2017-11-05,4.0,7.9350033
Kevin Love,2017-11-13,6.0,8.581066
Khris Middleton,2017-11-11,4.0,5.3211074
Kristaps Porzingis,2017-10-30,7.0,6.939109
Kristaps Porzingis,2017-11-01,5.0,7.0430417
Kristaps Porzingis,2017-11-03,7.0,6.851454
Kristaps Porzingis,2017-11-05,8.0,7.2259007
Kristaps Porzingis,2017-11-07,5.0,7.689767
Kristaps Porzingis,2017-11-11,5.0,7.4588537
Kristaps Porzingis,2017-11-13,7.0,7.5068364
Kristaps Porzingis,2017-11-15,8.0,8.035163
Kristaps Porzingis,2017-11-17,3.9999998,7.2938695
Kyle Lowry,2017-11-07,6.0,5.458244
Kyle Lowry,2017-11-09,6.0,6.0369267
Kyle Lowry,2017-11-12,1.0,4.6425133
Kyle Lowry,2017-11-14,5.0,5.23531
Kyle Lowry,2017-11-17,8.0,4.9419384
Kyrie Irving,2017-11-01,0.0,1.8109183
Kyrie Irving,2017-11-03,5.0,2.9507742
Kyrie Irving,2017-11-05,0.0,1.8198879
Kyrie Irving,2017-11-06,3.0,2.4959853
Kyrie Irving,2017-11-08,6.0,2.8699412
Kyrie Irving,2017-11-10,0.0,2.8478112
Kyrie Irving,2017-11-14,3.0,3.2162755
Kyrie Irving,2017-11-16,5.0,3.2908459
LaMarcus Aldridge,2017-10-30,5.0,8.140036
LaMarcus Aldridge,2017-11-02,10.0,8.692232
LaMarcus Aldridge,2017-11-03,7.0,8.801981
LaMarcus Aldridge,2017-11-05,9.0,7.9458404
LaMarcus Aldridge,2017-11-07,6.0,8.395846
LaMarcus Aldridge,2017-11-10,12.0,8.678162
LaMarcus Aldridge,2017-11-11,7.0,7.6281743
LaMarcus Aldridge,2017-11-14,5.0,7.386236
LaMarcus Aldridge,2017-11-15,10.0,8.32904
LaMarcus Aldridge,2017-11-17,9.0,8.030687
LeBron James,2017-10-29,10.0,6.4301
LeBron James,2017-11-01,6.0,6.0595922
LeBron James,2017-11-03,11.0,6.874753
LeBron James,2017-11-05,5.0,6.1205254
LeBron James,2017-11-07,8.0,6.553096
LeBron James,2017-11-09,4.0,5.6316147
LeBron James,2017-11-11,11.0,7.381126
LeBron James,2017-11-13,9.0,6.721523
LeBron James,2017-11-15,6.0,5.8442082
LeBron James,2017-11-17,14.0,6.5447865
Marc Gasol,2017-10-30,7.0,8.135639
Marc Gasol,2017-11-01,9.0,9.322361
Marc Gasol,2017-11-05,10.0,8.681424
Marc Gasol,2017-11-07,5.0,8.416866
Marc Gasol,2017-11-11,9.0,8.960933
Marc Gasol,2017-11-13,10.0,8.612463
Marc Gasol,2017-11-15,13.0,9.665901
Myles Turner,2017-11-15,5.0,5.9360547
Myles Turner,2017-11-17,5.0,5.654848
Nikola Jokic,2017-10-30,8.0,11.8359165
Nikola Jokic,2017-11-01,16.0,13.337351
Nikola Jokic,2017-11-03,14.0,12.523712
Nikola Jokic,2017-11-04,7.0,10.882297
Nikola Jokic,2017-11-07,12.0,11.272699
Nikola Jokic,2017-11-09,11.0,11.473682
Nikola Jokic,2017-11-11,17.0,11.211576
Nikola Jokic,2017-11-13,7.0,10.584888
Nikola Jokic,2017-11-17,11.0,10.881223
Nikola Vucevic,2017-10-30,8.0,6.200761
Nikola Vucevic,2017-11-01,5.0,6.804303
Nikola Vucevic,2017-11-03,3.0,5.5884957
Nikola Vucevic,2017-11-08,5.0,5.742482
Nikola Vucevic,2017-11-10,7.0,6.436202
Nikola Vucevic,2017-11-11,6.0,5.6570477
Nikola Vucevic,2017-11-13,5.0,6.677814
Nikola Vucevic,2017-11-15,10.0,8.041108
Paul George,2017-10-28,5.0,5.4907284
Paul George,2017-10-31,3.0,5.819398
Paul George,2017-11-03,10.0,6.8291845
Paul George,2017-11-05,5.0,6.7050424
Paul George,2017-11-07,6.0,5.7027984
Paul George,2017-11-09,8.0,6.131316
Paul George,2017-11-10,9.0,5.1419997
Paul George,2017-11-12,8.0,5.4700427
Paul George,2017-11-15,5.0,4.775267
Paul George,2017-11-17,7.0,4.322454
Ricky Rubio,2017-10-30,2.0,2.9243486
Ricky Rubio,2017-11-01,5.0,3.569777
Ricky Rubio,2017-11-03,0.0,3.3269856
Ricky Rubio,2017-11-05,2.0,3.1727831
Ricky Rubio,2017-11-11,7.0,2.9430254
Ricky Rubio,2017-11-13,0.0,2.902731
Rudy Gobert,2017-10-30,12.0,10.365894
Rudy Gobert,2017-11-01,10.0,9.669317
Rudy Gobert,2017-11-03,7.0,9.032915
Rudy Gobert,2017-11-05,5.0,8.220222
Rudy Gobert,2017-11-07,15.0,11.094216
Rudy Gobert,2017-11-10,12.0,9.349748
Russell Westbrook,2017-10-28,13.0,8.320605
Russell Westbrook,2017-10-31,10.0,7.6679893
Russell Westbrook,2017-11-03,6.0,7.632918
Russell Westbrook,2017-11-05,6.0,7.7206697
Russell Westbrook,2017-11-07,11.999999,6.9931993
Russell Westbrook,2017-11-09,7.0,7.9030886
Russell Westbrook,2017-11-10,3.0,7.5745564
Russell Westbrook,2017-11-12,6.0,6.282732
Russell Westbrook,2017-11-15,5.0,7.197027
Russell Westbrook,2017-11-17,9.0,6.550791
Stephen Curry,2017-10-30,5.0,3.3654912
Stephen Curry,2017-11-02,8.0,3.5103061
Stephen Curry,2017-11-04,0.0,3.2473392
Stephen Curry,2017-11-06,5.0,4.565922
