player_name,game_date,blk,blk_pred
Marc Gasol,2017-10-30,3.0,2.4496865
Marc Gasol,2017-11-01,1.0,1.5751535
Marc Gasol,2017-11-05,1.0,1.6840801
Marc Gasol,2017-11-07,4.0,1.4813256
Marc Gasol,2017-11-11,1.0,1.49456
Marc Gasol,2017-11-13,0.0,1.8013189
Marc Gasol,2017-11-15,5.0,2.9970515
Myles Turner,2017-11-15,3.0,1.6910708
Myles Turner,2017-11-17,3.0,1.902977
Nikola Jokic,2017-10-30,1.0,0.764637
Nikola Jokic,2017-11-01,2.0,1.1053818
Nikola Jokic,2017-11-03,1.0,0.955449
Nikola Jokic,2017-11-04,0.0,0.5811124
Nikola Jokic,2017-11-07,2.0,0.9617778
Nikola Jokic,2017-11-09,0.0,0.44266197
Nikola Jokic,2017-11-11,1.0,0.8057679
Nikola Jokic,2017-11-13,1.0,1.2050375
Nikola Jokic,2017-11-17,1.0,1.0133514
Nikola Vucevic,2017-10-30,0.0,0.32996386
Nikola Vucevic,2017-11-01,0.0,0.13318057
Nikola Vucevic,2017-11-03,0.0,0.24171683
Nikola Vucevic,2017-11-08,1.0,0.5302789
Nikola Vucevic,2017-11-10,1.0,0.56800115
Nikola Vucevic,2017-11-11,0.0,0.5210473
Nikola Vucevic,2017-11-13,0.0,0.80030555
Nikola Vucevic,2017-11-15,0.0,0.19319183
Paul George,2017-10-28,0.0,0.35385722
Paul George,2017-10-31,1.0,0.45343167
Paul George,2017-11-03,0.0,0.17720644
Paul George,2017-11-05,0.0,0.069370866
Paul George,2017-11-07,0.0,0.07682966
Paul George,2017-11-09,1.0,0.10853748
Paul George,2017-11-10,0.0,0.11304627
Paul George,2017-11-12,0.0,0.09889291
Paul George,2017-11-15,1.0,0.2651475
Paul George,2017-11-17,0.0,0.11503141
Ricky Rubio,2017-10-30,0.0,0.2937513
Ricky Rubio,2017-11-01,0.0,-0.02859585
Ricky Rubio,2017-11-03,0.0,-0.06714398
Ricky Rubio,2017-11-05,0.0,0.052654997
Ricky Rubio,2017-11-11,0.0,0.131689
Ricky Rubio,2017-11-13,0.0,0.18569268
Rudy Gobert,2017-10-30,6.0,3.2577515
Rudy Gobert,2017-11-01,3.0,3.6303298
Rudy Gobert,2017-11-03,2.0,2.1175756
Rudy Gobert,2017-11-05,0.0,1.1855906
Rudy Gobert,2017-11-07,3.0,1.7877434
