player_name,game_date,ast,ast_pred
Paul George,2017-11-05,2.0,3.1071317
Paul George,2017-11-07,2.0,2.61698
Paul George,2017-11-09,2.0,3.6547008
Paul George,2017-11-10,7.0,5.158957
Paul George,2017-11-12,5.0,4.4824295
Paul George,2017-11-15,0.0,3.825998
Paul George,2017-11-17,6.0,4.282614
Ricky Rubio,2017-10-30,6.0,6.1397505
Ricky Rubio,2017-11-01,1.0,4.031406
Ricky Rubio,2017-11-03,3.0,4.9147224
Ricky Rubio,2017-11-05,3.0,6.1016703
Ricky Rubio,2017-11-11,8.0,6.656844
Ricky Rubio,2017-11-13,2.0,4.1204267
Rudy Gobert,2017-10-30,6.0,3.0278378
Rudy Gobert,2017-11-01,1.0,2.1922007
Rudy Gobert,2017-11-03,0.0,2.0575128
Rudy Gobert,2017-11-05,1.0,1.9585819
Rudy Gobert,2017-11-07,1.0,1.8769972
Rudy Gobert,2017-11-10,0.0,2.428496
Russell Westbrook,2017-10-28,13.000001,11.390022
Russell Westbrook,2017-10-31,10.0,11.671675
Russell Westbrook,2017-11-03,11.0,11.248054
Russell Westbrook,2017-11-05,9.0,9.7484255
Russell Westbrook,2017-11-07,6.0,8.309828
Russell Westbrook,2017-11-09,5.0,8.156614
Russell Westbrook,2017-11-10,8.0,10.075947
Russell Westbrook,2017-11-12,5.0,7.6959696
Russell Westbrook,2017-11-15,7.0,7.934312
Russell Westbrook,2017-11-17,9.0,8.226167
Stephen Curry,2017-10-30,6.0,7.5929074
