Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
TJ McConnell,25.6,PHI,Point,1590,7,16.4%,67,110.7,39,25.1%,92,1.53,3,18.1%
Doug McDermott,25.8,DAL,Wing,583,25,13.7%,92,121.5,22,7.0%,32,0.51,46,11.5%
Doug McDermott,25.8,NYK,Wing,1087,19,13.0%,78,114.3,14,6.1%,23,0.47,66,10.3%
JaVale McGee,29.8,GSW,Big,559,46,15.8%,90,128.2,45,7.8%,42,0.49,73,10.9%
Rodney McGruder,26.3,MIA,Wing,281,7,11.2%,61,111.4,25,7.3%,67,0.65,96,5.6%
Ben McLemore,24.7,MEM,Combo,1038,21,17.2%,50,105.2,2,7.6%,2,0.44,29,14.4%
Jodie Meeks,30.2,WAS,Wing,993,55,17.2%,53,108.6,56,9.9%,47,0.58,87,7.7%
Salah Mejri,31.4,DAL,Big,693,10,12.1%,91,128.6,31,6.9%,59,0.57,6,20.9%
Jordan Mickey,23.3,MIA,Big,221,50,16.0%,7,98.6,17,5.9%,16,0.37,10,18.8%
Khris Middleton,26.2,MIL,Forward,2963,92,24.4%,73,117.1,94,17.2%,84,0.71,41,11.9%
CJ Miles,30.6,TOR,Wing,1295,66,19.7%,50,108.0,15,6.1%,6,0.31,93,6.8%
Darius Miller,27.6,NOP,Forward,1861,14,11.9%,96,126.4,35,7.7%,73,0.64,61,10.8%
Malcolm Miller,24.7,TOR,Wing,106,4,9.8%,99,133.3,1,2.7%,4,0.28,1,20.4%
Patty Mills,29.2,SAS,Combo,2080,34,18.3%,79,112.2,30,15.9%,41,0.87,66,12.2%
Paul Millsap,32.7,DEN,Big,1139,83,21.8%,29,110.0,83,13.5%,71,0.62,55,12.6%
Nikola Mirotic,26.7,NOP,Big,866,68,19.3%,24,108.2,21,6.3%,10,0.33,94,8.1%
Nikola Mirotic,26.7,CHI,Big,598,89,23.2%,86,126.1,64,10.0%,31,0.43,89,9.2%
Donovan Mitchell,21.1,UTA,Combo,2608,89,29.3%,63,108.8,46,18.8%,7,0.64,63,12.6%
Malik Monk,19.7,CHA,Combo,740,79,24.8%,20,96.8,41,17.7%,23,0.71,86,10.3%
Greg Monroe,27.4,BOS,Big,465,93,25.2%,46,114.7,94,20.8%,87,0.83,21,16.6%
Greg Monroe,27.4,PHX,Big,461,71,19.9%,91,128.6,94,18.6%,91,0.93,12,18.5%
E'Twaun Moore,28.7,NOP,Wing,2550,36,15.0%,87,119.4,57,9.9%,67,0.66,50,11.3%
Eric Moreland,25.9,DET,Big,716,4,10.9%,26,108.5,86,14.1%,99,1.29,4,23.1%
Marcus Morris,28.2,BOS,Forward,1414,80,21.0%,57,110.1,45,8.3%,14,0.39,73,9.3%
Markieff Morris,28.2,WAS,Big,1957,64,18.5%,45,114.0,71,10.7%,62,0.58,29,15.6%
Johnathan Motley,22.5,DAL,Forward,170,82,21.1%,55,109.6,41,8.1%,10,0.38,71,9.9%
Timofey Mozgov,31.3,BKN,Big,323,42,15.1%,71,120.6,6,4.1%,5,0.27,1,27.8%
Emmanuel Mudiay,21.7,DEN,Point,690,67,26.2%,33,100.3,36,25.1%,36,0.96,18,16.8%
Emmanuel Mudiay,21.7,NYK,Point,486,62,25.6%,7,88.2,43,25.4%,38,1.00,51,14.1%
Shabazz Muhammad,25.0,MIL,Wing,114,94,26.9%,97,128.8,63,11.1%,17,0.41,100,1.5%
Shabazz Muhammad,25.0,MIN,Wing,276,62,18.3%,10,90.8,4,3.9%,0,0.21,96,4.4%
Dejounte Murray,21.1,SAS,Point,1652,38,21.9%,15,94.3,18,19.8%,26,0.90,36,15.1%
Jamal Murray,20.7,DEN,Point,2529,44,22.8%,84,118.4,8,15.9%,2,0.70,59,12.8%
Mike Muscala,26.3,ATL,Big,1007,31,14.2%,62,118.4,38,7.3%,49,0.52,60,11.8%
Abdel Nader,24.1,BOS,Wing,425,40,15.4%,4,84.1,16,6.2%,13,0.40,7,16.3%
Larry Nance Jr.,24.8,LAL,Big,890,29,14.0%,82,123.9,51,8.7%,70,0.62,55,12.6%
Larry Nance Jr.,24.8,CLE,Big,485,42,15.1%,61,117.4,37,7.3%,41,0.48,99,6.0%
Shabazz Napier,26.3,POR,Combo,1464,54,20.6%,59,107.9,21,14.0%,13,0.68,55,12.9%
Jameer Nelson,35.7,DET,Point,108,54,24.5%,0,66.7,93,38.3%,93,1.57,2,18.5%
